"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Ccdc611",0.752180421122693,0.726353899549067,0.059,0.047,1,"Ccdc61","9"
"Tgif23",0.752375886548348,1.16086250966788,0.029,0.021,1,"Tgif2","9"
"Tbc1d252",0.752401730056431,1.51564949454526,0.029,0.022,1,"Tbc1d25","9"
"Frat13",0.753129792303219,1.15277362819199,0.029,0.021,1,"Frat1","9"
"Zbtb372",0.753572651939907,0.77141377555807,0.059,0.047,1,"Zbtb37","9"
"Gcsh2",0.753704398529147,1.22442990162462,0.029,0.021,1,"Gcsh","9"
"Hist1h2bc2",0.753901499499665,0.504112695625638,0.088,0.073,1,"Hist1h2bc","9"
"Nol9",0.754109681474566,0.534836071047637,0.088,0.073,1,"Nol9","9"
"Uap1l12",0.75538900321141,1.274914726976,0.029,0.022,1,"Uap1l1","9"
"Lsm101",0.755674171189982,0.823648459533158,0.059,0.048,1,"Lsm10","9"
"Mcee",0.755857654353541,0.911852890368051,0.059,0.049,1,"Mcee","9"
"Exosc2",0.756296599482176,0.686077622039271,0.059,0.047,1,"Exosc2","9"
"Gm470962",0.756308802880392,1.32628346308661,0.029,0.022,1,"Gm47096","9"
"Med161",0.757289074452527,0.738348202322326,0.059,0.047,1,"Med16","9"
"Lrrc41",0.75780212718953,0.742237566689834,0.059,0.047,1,"Lrrc41","9"
"Ggt12",0.758326920830525,1.3760465854465,0.029,0.022,1,"Ggt1","9"
"Trappc23",0.758755467118266,1.19198532264049,0.029,0.022,1,"Trappc2","9"
"Taf62",0.758792707649742,0.93552794894212,0.059,0.049,1,"Taf6","9"
"Ints10",0.759936724416431,0.875625553522806,0.059,0.048,1,"Ints10","9"
"Olfr561",0.760089676264223,0.597553886128805,0.088,0.076,1,"Olfr56","9"
"Evi22",0.760253146980861,1.19366310545119,0.029,0.022,1,"Evi2","9"
